transfer_id,sender_account,receiver_account,amount,timestamp,fan_out_degree,fan_in_degree,transit_velocity_sec,amount_layering_ratio,shared_device_cluster,account_dormancy_score,is_fraud,attack_id,variant_id,variant_name,hop_level
TRX-0208D2,ACC-36201,ACC-85897,52.5,2026-08-01T19:53:07.467742,0.379,0.4098,0.2269,0.5655,0,0.3241,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-037811,ACC-47991,ACC-82982,648.78,2026-08-03T12:22:23.674564,0.4481,0.3819,0.3489,0.3857,1,0.3753,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DA88B,ACC-68348,ACC-45111,13.23,2026-08-23T23:35:13.703872,0.337,0.429,0.3498,0.3631,0,0.4047,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E62FB,ACC-14213,ACC-95382,46.26,2026-08-03T03:40:08.272400,0.2738,0.35,0.1373,0.1219,0,0.2729,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-04DADD,ACC-58777,ACC-34995,1708.9,2026-08-29T03:03:37.156912,0.2138,0.1154,0.01,0.0092,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0F1441,ACC-31288,ACC-97958,34.34,2026-08-05T13:55:59.909207,0.2025,0.315,0.109,0.1701,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DDD90,ACC-58404,ACC-46304,174.51,2026-08-16T05:07:25.532513,0.35,0.0726,0.1743,0.244,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0ECFE4,ACC-57118,ACC-17151,166.57,2026-08-13T01:19:57.869542,0.3049,0.0666,0.3,0.35,0,0.2056,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-027362,ACC-34226,ACC-50158,133.52,2026-08-10T13:10:01.090288,0.0981,0.35,0.1454,0.1935,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-04F0B1,ACC-90388,ACC-24489,10.14,2026-08-02T12:41:24.228476,0.1301,0.1387,0.3,0.1295,0,0.2759,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C6B1B,ACC-65168,ACC-90688,57.47,2026-08-04T15:03:09.720240,0.0466,0.0743,0.2398,0.0671,0,0.0199,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-064F61,ACC-26364,ACC-15901,16.18,2026-08-31T01:18:02.653685,0.5794,0.3716,0.4769,0.1745,0,0.1541,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E3FB9,ACC-92879,ACC-13754,772.32,2026-08-18T07:14:35.908421,0.2634,0.35,0.0796,0.1499,1,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-023E4B,ACC-55558,ACC-41616,73.51,2026-08-18T13:37:49.203881,0.02,0.1799,0.3,0.1199,0,0.1225,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02B9B8,MULE-WRK-2432,MULE-MSTR-821,6666.87,2026-08-08T20:24:26,0.2798,0.6729,0.6684,0.7621,1,0.1151,1,MM-001,MM-V3,Fan-In Consolidation Ring,2
TRX-0783EB,ACC-93309,ACC-88229,43.09,2026-08-28T18:49:01.649723,0.1708,0.2044,0.0849,0.1103,0,0.0473,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0697A7,ACC-63006,ACC-66575,69.91,2026-08-02T03:40:43.760036,0.1593,0.35,0.1229,0.0418,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BAE2C,ACC-95382,ACC-10728,31.33,2026-08-29T13:16:50.050742,0.188,0.35,0.2788,0.282,0,0.1396,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-024079,ACC-87575,ACC-60108,15.34,2026-08-02T19:06:23.794560,0.35,0.2045,0.1372,0.1357,0,0.0795,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0ABC09,ACC-33510,ACC-80902,27.27,2026-08-06T06:41:34.350296,0.1116,0.0665,0.1348,0.0668,0,0.0476,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0773BA,VICTIM-2841,MULE-WRK-8373,1789.78,2026-08-17T12:19:02,0.8003,0.3446,0.561,0.7858,0,0.1779,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-0C8CC3,ACC-37723,ACC-13373,162.98,2026-08-12T12:06:46.175764,0.1909,0.1958,0.0308,0.35,0,0.0354,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-09D4C6,ACC-86539,ACC-56002,105.36,2026-08-05T21:41:44.972751,0.208,0.2923,0.1571,0.1239,0,0.01,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-043A50,ACC-50197,ACC-18004,16.44,2026-08-07T15:55:02.154229,0.1486,0.1335,0.2787,0.2937,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0305E0,VICTIM-6884,MULE-WRK-2706,1674.65,2026-08-29T03:55:25,0.6589,0.1624,0.6102,0.7379,0,0.202,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-02587E,ACC-91050,ACC-74028,96.44,2026-08-01T16:10:30.896871,0.1434,0.3138,0.2292,0.0856,0,0.1845,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C1C28,ACC-88033,ACC-98009,110.64,2026-08-09T11:01:07.785104,0.2038,0.35,0.2065,0.127,0,0.1585,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C42EB,DORMANT-ACC-28531,MULE-MSTR-676,8173.84,2026-08-19T10:41:36,0.2675,0.2569,0.6817,0.757,1,0.8411,1,MM-001,MM-V4,Dormant Mule Ring Activation,2
TRX-09B3F9,ACC-18392,ACC-89473,253.28,2026-08-01T13:27:52.975670,0.02,0.1768,0.0744,0.2698,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-08D021,ACC-43662,ACC-46455,14.47,2026-08-05T03:08:06.954714,0.173,0.0468,0.1592,0.0542,0,0.1119,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-084F1A,ACC-56305,ACC-51621,29.79,2026-08-11T08:52:40.882622,0.1923,0.2294,0.1254,0.1693,0,0.1205,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0F1E0E,ACC-52998,ACC-23918,860.29,2026-08-12T08:09:56.478675,0.0306,0.3289,0.0392,0.2153,0,0.0281,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-097AA3,ACC-18811,ACC-45643,7.94,2026-08-06T17:44:29.627718,0.35,0.35,0.1414,0.35,0,0.2305,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-04F738,ACC-67169,ACC-56413,139.37,2026-08-08T12:51:32.886881,0.2705,0.087,0.235,0.2049,0,0.0135,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0758A8,ACC-99489,ACC-79896,229.76,2026-08-18T18:19:29.463731,0.3479,0.1384,0.0926,0.2036,0,0.2583,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-061479,MULE-WRK-8302,MULE-MSTR-372,9461.05,2026-08-07T22:36:57,0.2726,0.9051,0.742,0.9368,1,0.2852,1,MM-001,MM-V3,Fan-In Consolidation Ring,2
TRX-01EF75,ACC-30103,ACC-61875,23.18,2026-08-04T12:28:25.608618,0.2667,0.039,0.1203,0.124,0,0.0385,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0D7EEF,ACC-64384,ACC-80448,7.06,2026-08-03T22:54:44.302203,0.1324,0.35,0.1988,0.35,0,0.2144,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-01A050,ACC-90257,ACC-16344,59.37,2026-08-15T21:52:49.633282,0.1128,0.2619,0.2019,0.2836,0,0.0433,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-082910,ACC-24288,ACC-76199,54.84,2026-08-25T19:56:35.482067,0.0808,0.2439,0.1319,0.0174,0,0.2705,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-03BEAD,VICTIM-9919,MULE-WRK-9853,1725.92,2026-08-25T17:25:45,0.7512,0.1713,0.6532,0.6586,0,0.1248,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-068DA2,ACC-97955,ACC-12482,27.52,2026-08-15T16:25:44.977329,0.3294,0.1778,0.2054,0.0054,0,0.1701,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C42F4,ACC-44521,ACC-64021,335.9,2026-08-23T22:09:56.401746,0.3267,0.1065,0.2735,0.3265,0,0.1736,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B59F6,ACC-27153,ACC-96831,22.2,2026-08-09T22:58:49.077130,0.0686,0.2004,0.1063,0.2693,0,0.1476,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0D6D74,ACC-41822,ACC-59104,209.27,2026-08-12T03:15:58.095946,0.1009,0.35,0.057,0.0752,0,0.0121,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-01FB27,ACC-44531,ACC-76912,15.38,2026-08-11T15:42:51.569136,0.5612,0.2744,0.549,0.3634,0,0.3662,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BEC29,ACC-17659,ACC-48067,155.39,2026-08-19T05:47:59.511082,0.0742,0.1454,0.2851,0.0716,0,0.1229,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0943A0,ACC-46116,ACC-31352,29.31,2026-08-13T02:03:50.373543,0.0826,0.308,0.1477,0.209,0,0.1935,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-046C17,ACC-47685,ACC-58231,42.27,2026-08-12T10:38:24.271760,0.35,0.1241,0.0755,0.0438,0,0.24,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0835DD,ACC-76732,ACC-85418,89.3,2026-08-12T03:28:53.756385,0.2362,0.2537,0.0717,0.1482,0,0.01,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0ED2C7,VICTIM-4689,MULE-MSTR-723,4684.52,2026-08-08T08:21:31,0.3965,0.2502,0.7783,0.9292,1,0.2202,1,MM-001,MM-V1,Rapid Cash-Out Burst,1
TRX-0821BD,ACC-44518,ACC-59376,11.26,2026-08-02T10:44:33.620576,0.1524,0.1689,0.2833,0.241,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0336C9,ACC-55004,ACC-43755,28.1,2026-08-30T02:23:37.699149,0.35,0.1681,0.3,0.35,0,0.0323,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06EA4F,ACC-49224,ACC-54547,39.63,2026-08-18T05:05:57.297185,0.1352,0.121,0.1417,0.099,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-051EF7,ACC-88623,ACC-36390,57.65,2026-08-20T11:01:10.212006,0.1752,0.02,0.0706,0.249,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0D8A29,ACC-67169,ACC-44008,116.49,2026-08-10T03:58:20.551341,0.1377,0.35,0.1216,0.1395,0,0.1143,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DDD84,ACC-62224,ACC-82127,61.96,2026-08-29T04:11:06.427948,0.2243,0.2021,0.2103,0.3129,0,0.1999,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05B0C1,ACC-80507,ACC-17016,128.37,2026-08-23T19:12:34.348205,0.1973,0.1851,0.2656,0.1246,0,0.0558,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05A2C7,ACC-65751,ACC-15410,174.55,2026-08-03T19:58:33.084591,0.1807,0.1732,0.292,0.0498,0,0.1631,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05D90B,ACC-77270,ACC-52965,14.99,2026-08-05T17:24:20.740064,0.35,0.1948,0.0753,0.0129,0,0.1923,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0A3CDB,VICTIM-1949,MULE-WRK-9338,1062.65,2026-08-20T08:08:39,0.8643,0.2422,0.7416,0.8753,0,0.2024,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-094743,ACC-28752,ACC-56976,92.62,2026-08-09T06:10:59.644187,0.264,0.02,0.0672,0.3175,0,0.0867,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-083E4B,ACC-81635,ACC-45854,95.16,2026-08-09T19:12:40.423438,0.2048,0.2556,0.01,0.0547,0,0.1424,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-09ED25,ACC-92811,ACC-35518,126.11,2026-08-02T20:37:24.705041,0.0359,0.1226,0.3,0.0985,0,0.128,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-07DB42,ACC-80313,ACC-30074,22.42,2026-08-08T18:15:08.959035,0.0474,0.0985,0.0507,0.0671,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-027524,ACC-92844,ACC-98700,71.22,2026-08-08T16:13:11.288436,0.35,0.0883,0.3,0.3082,1,0.1499,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-083FF8,ACC-27771,ACC-66614,39.78,2026-08-02T03:44:22.482736,0.0336,0.1771,0.1845,0.2139,0,0.1234,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C8E4F,VICTIM-6105,MULE-WRK-2176,1146.23,2026-08-02T02:47:43,0.7874,0.1646,0.5952,0.634,1,0.2002,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-0D00D9,ACC-63420,ACC-36762,6.87,2026-08-01T08:00:37.975732,0.1794,0.0802,0.1835,0.0805,0,0.0597,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BCBC9,ACC-60069,ACC-52534,13.92,2026-08-08T16:54:46.291894,0.1801,0.1295,0.2013,0.3322,0,0.1225,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-055E0B,ACC-73936,ACC-73449,11.85,2026-08-14T06:51:48.593059,0.1455,0.2697,0.2576,0.174,0,0.0209,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0AEE14,ACC-14324,ACC-22183,115.7,2026-08-23T04:00:24.678520,0.3045,0.1613,0.041,0.35,0,0.1805,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B3A8D,DORMANT-ACC-96713,MULE-MSTR-688,14677.24,2026-08-05T10:31:47,0.4,0.263,0.4587,0.7124,0,0.6819,1,MM-001,MM-V4,Dormant Mule Ring Activation,2
TRX-0C6C17,ACC-68335,ACC-28951,179.58,2026-08-25T10:57:46.632056,0.35,0.35,0.136,0.2617,0,0.1327,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-03AFD2,ACC-87984,ACC-47412,238.57,2026-08-08T02:30:56.122306,0.0685,0.184,0.2691,0.35,0,0.2424,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DE394,ACC-64302,ACC-13631,20.95,2026-08-21T21:28:12.860795,0.0749,0.2494,0.01,0.255,0,0.2472,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B974E,ACC-91532,ACC-29190,455.29,2026-08-26T02:20:52.430042,0.1893,0.1137,0.1903,0.2495,0,0.0816,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B7B1B,ACC-81368,ACC-13267,64.86,2026-08-21T07:30:42.736328,0.3195,0.2055,0.2111,0.2508,0,0.1484,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06D928,ACC-37306,ACC-29541,95.94,2026-08-05T20:43:03.600563,0.2247,0.0661,0.1296,0.2962,0,0.2496,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-080860,ACC-34968,ACC-66573,24.59,2026-08-29T04:44:28.743063,0.1235,0.214,0.0818,0.2759,0,0.0146,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02E475,ACC-74925,ACC-59416,11.3,2026-08-03T06:23:37.048969,0.2051,0.35,0.0452,0.2297,0,0.2214,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DC514,ACC-62142,ACC-85452,69.69,2026-08-09T07:48:02.493853,0.02,0.2164,0.2247,0.1954,0,0.056,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E9CF0,ACC-15655,ACC-55968,20.36,2026-08-28T17:59:23.414498,0.1115,0.0727,0.0249,0.1043,0,0.0595,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-07977D,ACC-87129,ACC-31223,5.0,2026-08-22T13:15:48.297243,0.1487,0.2857,0.3,0.0518,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0246DC,ACC-52668,ACC-61991,20.31,2026-08-27T19:32:46.537010,0.2268,0.02,0.0966,0.35,0,0.1945,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-099939,ACC-33782,ACC-26082,37.28,2026-08-25T18:29:28.772050,0.1847,0.299,0.2008,0.1237,0,0.2241,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-07E1E0,ACC-47198,ACC-80091,10.51,2026-08-12T09:08:44.483683,0.3228,0.1473,0.3,0.35,0,0.213,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0878E5,ACC-21390,ACC-19692,53.77,2026-08-20T19:15:22.313934,0.1742,0.2052,0.0896,0.35,0,0.0278,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0E7DEA,DORMANT-ACC-54733,MULE-MSTR-392,4395.03,2026-08-20T03:31:55,0.3051,0.3345,0.4787,0.7261,1,0.8591,1,MM-001,MM-V4,Dormant Mule Ring Activation,2
TRX-09CF6D,ACC-98789,ACC-47226,32.64,2026-08-10T04:56:30.015335,0.1151,0.1598,0.0991,0.169,0,0.0735,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0CE847,VICTIM-2353,MULE-WRK-1268,839.34,2026-08-19T15:00:13,0.619,0.3334,0.5114,0.8072,0,0.2063,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-028710,ACC-15355,ACC-79626,169.51,2026-08-10T21:33:09.042472,0.2047,0.2572,0.2033,0.3042,0,0.1206,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BA871,ACC-30056,ACC-54425,37.15,2026-08-26T06:58:14.477605,0.35,0.2187,0.0363,0.1037,0,0.0451,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0EF390,VICTIM-8482,MULE-WRK-6958,1659.98,2026-08-26T09:48:45,0.8213,0.2458,0.6545,0.8471,0,0.2526,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-066016,ACC-88344,ACC-51786,7.38,2026-08-03T03:47:08.148310,0.0902,0.1872,0.3,0.0679,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-06D017,ACC-45737,ACC-15713,11.69,2026-08-01T08:09:58.399284,0.0755,0.0438,0.1422,0.0484,0,0.2562,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B2924,ACC-28711,ACC-33049,180.76,2026-08-01T12:33:34.936997,0.1416,0.341,0.3,0.2172,0,0.0415,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0F30F6,ACC-93309,ACC-26371,130.42,2026-08-07T20:08:52.984809,0.2023,0.166,0.2428,0.0303,0,0.0202,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0ECCD7,ACC-36431,ACC-45111,5.0,2026-08-14T12:41:54.190405,0.088,0.0848,0.2653,0.1326,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-031FE3,ACC-86743,ACC-72368,28.31,2026-08-18T05:54:26.540459,0.0271,0.0889,0.0385,0.1258,0,0.1162,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-070716,ACC-96698,ACC-12747,1874.32,2026-08-19T01:57:03.561840,0.0429,0.0727,0.2656,0.2179,1,0.1973,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05F006,ACC-22254,ACC-65176,193.35,2026-08-29T21:51:06.656987,0.2631,0.1888,0.1882,0.0281,0,0.1887,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-069983,ACC-52808,ACC-26724,56.5,2026-08-08T09:11:44.970972,0.4731,0.4545,0.2686,0.3517,0,0.2833,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-064532,ACC-98177,ACC-58438,14.09,2026-08-20T23:51:40.633296,0.1618,0.1197,0.3,0.3498,0,0.1558,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-070D48,ACC-93596,ACC-27087,66.06,2026-08-12T20:19:00.470971,0.216,0.2435,0.2945,0.0525,0,0.2659,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0D4C6F,ACC-98652,ACC-27100,149.9,2026-08-02T22:42:03.992854,0.0866,0.0657,0.1562,0.0613,0,0.1009,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05D00D,ACC-64575,ACC-32005,293.3,2026-08-01T19:39:14.330883,0.1047,0.1801,0.1338,0.35,0,0.079,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0BEA9F,ACC-13754,ACC-62603,12.21,2026-08-06T18:29:00.998917,0.35,0.0933,0.095,0.35,0,0.1258,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-061FE4,ACC-87064,ACC-54769,274.3,2026-08-18T06:08:44.792973,0.2805,0.033,0.0629,0.0525,0,0.0384,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-08F96A,ACC-62098,ACC-96900,18.7,2026-08-24T08:56:49.415674,0.191,0.231,0.0762,0.0043,0,0.2258,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-045E13,ACC-52808,ACC-65860,104.23,2026-08-14T13:18:27.195346,0.085,0.0376,0.0106,0.0388,0,0.1898,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-072D3B,ACC-59376,ACC-39328,29.48,2026-08-26T08:54:20.972268,0.1081,0.1804,0.0221,0.0181,0,0.1119,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-02FD48,DORMANT-ACC-83173,MULE-MSTR-676,9791.16,2026-08-25T22:01:06,0.5255,0.3932,0.405,0.95,0,0.8545,1,MM-001,MM-V4,Dormant Mule Ring Activation,2
TRX-036A82,ACC-68005,ACC-68053,20.37,2026-08-20T01:56:41.086663,0.35,0.2432,0.3,0.2779,0,0.0261,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0DF60E,ACC-58713,ACC-95067,584.57,2026-08-01T20:02:51.238414,0.0971,0.3108,0.3,0.35,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05C1E0,ACC-15997,ACC-26389,21.78,2026-08-30T12:20:58.937084,0.0513,0.0513,0.3,0.2019,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-082815,ACC-58302,ACC-50390,37.6,2026-08-16T21:11:56.343011,0.2216,0.3365,0.0537,0.0068,0,0.28,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05B594,VICTIM-1400,MULE-WRK-5685,1046.55,2026-08-23T20:19:34,0.6844,0.2651,0.6825,0.7256,0,0.147,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
TRX-07AEC8,ACC-71886,ACC-83688,19.43,2026-08-02T03:03:49.463118,0.1262,0.2817,0.1496,0.2456,0,0.0523,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0C7D6C,ACC-46976,ACC-39806,78.71,2026-08-21T12:07:02.606896,0.0739,0.3083,0.2801,0.1251,0,0.0213,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-05FEFE,ACC-21116,ACC-37386,270.43,2026-08-08T12:14:35.156241,0.3287,0.35,0.0484,0.1199,0,0.168,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-03DEFE,ACC-60139,ACC-93362,13.64,2026-08-23T18:50:24.313291,0.35,0.1058,0.1673,0.0231,0,0.2428,0,LEGIT,LEGIT,Normal Peer-to-Peer Transfer,1
TRX-0B5B61,VICTIM-8803,MULE-WRK-9499,1330.87,2026-08-23T00:08:36,0.9249,0.1198,0.785,0.7806,0,0.2015,1,MM-001,MM-V2,Smurfing / Layered Fan-Out,1
