interaction_id,user_id,amount,timestamp,llm_semantic_intent_score,voice_biometric_jitter,synthetic_face_embedding_dist,adversarial_perturbation_index,device_risk,amount_deviation,is_fraud,attack_id,variant_id,variant_name
GENAI-0AEAE3,USR-9354,57.67,2026-08-12T07:12:39,0.2131,0.1254,0.1381,0.0376,0.2725,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0C6B91,USR-8826,21.42,2026-08-29T06:26:32,0.0638,0.0372,0.1412,0.2267,0.1229,0.1753,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0C5636,USR-3096,23.96,2026-08-23T13:38:26,0.1951,0.0593,0.169,0.0732,0.1775,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-051C9F,USR-7608,58.07,2026-08-18T02:38:28,0.28,0.28,0.0525,0.25,0.35,0.2448,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0E002E,USR-1954,98.16,2026-08-13T12:50:36,0.1575,0.1576,0.1533,0.175,0.0321,0.1463,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0EC008,USR-7844,25.58,2026-08-23T02:25:49,0.2646,0.5667,0.3038,0.2198,0.4604,0.3788,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-07E81A,USR-3352,64.13,2026-08-20T09:16:14,0.0462,0.1309,0.1536,0.1866,0.1387,0.2503,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-05B1A4,USR-7012,23.93,2026-08-17T02:12:49,0.01,0.2576,0.2252,0.0551,0.1757,0.0127,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-09EC5B,USR-8592,44.11,2026-08-18T11:56:27,0.2259,0.1433,0.28,0.1767,0.35,0.0567,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-075126,USR-4179,5390.13,2026-08-14T01:26:44,0.8625,0.171,0.2493,0.3479,0.6871,0.7257,1,GENAI-001,GENAI-V1,Conversational Autonomous Fraud Agent
GENAI-0D6D8F,USR-8353,28.94,2026-08-05T18:24:30,0.079,0.048,0.28,0.0952,0.2145,0.1367,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-025EBF,USR-9637,111.74,2026-08-28T02:25:04,0.205,0.1033,0.28,0.0252,0.35,0.167,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-095C44,USR-7761,379.15,2026-08-13T18:44:25,0.1528,0.1131,0.0527,0.0417,0.2558,0.2161,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-05BD60,USR-9842,14.37,2026-08-28T00:31:09,0.0504,0.2329,0.0445,0.1124,0.0765,0.0506,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-08B804,USR-5350,90.25,2026-08-17T02:37:41,0.0624,0.28,0.1007,0.0262,0.0727,0.0989,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0A8B60,USR-4043,19.78,2026-08-17T12:41:53,0.2462,0.2629,0.2659,0.0191,0.3168,0.2872,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-042102,USR-8037,72.39,2026-08-01T10:35:53,0.0296,0.1177,0.1471,0.2472,0.166,0.2281,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0BB221,USR-9324,415.82,2026-08-17T23:53:49,0.1963,0.01,0.1933,0.1708,0.0413,0.2689,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0A95CF,USR-9851,67.16,2026-08-02T20:56:48,0.28,0.1585,0.2273,0.0819,0.2294,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0BDD12,USR-8492,41062.08,2026-08-08T02:03:33,0.8553,0.8176,0.2854,0.423,0.8892,0.99,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
GENAI-07C592,USR-1902,31.15,2026-08-28T15:21:14,0.28,0.1018,0.1538,0.0989,0.3114,0.2223,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0A087B,USR-8498,54.55,2026-08-13T20:35:37,0.28,0.28,0.28,0.2052,0.0796,0.2213,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-031705,USR-6210,100.52,2026-08-22T00:37:08,0.1883,0.2056,0.212,0.0594,0.1778,0.1136,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-03722A,USR-4210,33.24,2026-08-05T12:54:26,0.0657,0.28,0.2293,0.01,0.35,0.2205,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-08215E,USR-9068,50.3,2026-08-11T17:31:01,0.0577,0.28,0.181,0.215,0.35,0.1243,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-073317,USR-7942,12.66,2026-08-17T07:07:12,0.28,0.2309,0.2118,0.0429,0.2695,0.1804,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-06083B,USR-2308,63149.22,2026-08-29T07:02:48,0.6273,0.8639,0.4054,0.4386,0.8456,0.8344,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
GENAI-01FCE6,USR-5794,143.36,2026-08-12T21:27:16,0.1222,0.1275,0.2153,0.01,0.2399,0.1347,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0C3139,USR-7102,63.54,2026-08-27T20:45:22,0.0182,0.0212,0.1326,0.25,0.2785,0.0963,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-05F46A,USR-7310,19.23,2026-08-18T21:10:36,0.0832,0.1185,0.1067,0.0197,0.0961,0.3254,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-069223,USR-6326,10.0,2026-08-29T03:05:52,0.0895,0.28,0.28,0.0551,0.3346,0.134,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-053750,USR-6770,1291.35,2026-08-09T15:30:43,0.3469,0.2285,0.2066,0.7972,0.3934,0.3146,1,GENAI-001,GENAI-V4,Adaptive Adversarial Feature Evasion
GENAI-0C7929,USR-2862,163.5,2026-08-14T16:26:18,0.0639,0.1559,0.1681,0.1267,0.3234,0.01,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-03A39A,USR-2115,44.62,2026-08-27T09:26:50,0.0678,0.0242,0.2282,0.1091,0.0214,0.1641,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0CC8A5,USR-2032,31.05,2026-08-17T05:00:36,0.0369,0.2406,0.1181,0.1385,0.0439,0.1488,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0D9639,USR-3602,26.06,2026-08-15T22:31:30,0.28,0.28,0.28,0.25,0.35,0.0428,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-091093,USR-6296,119.04,2026-08-24T04:32:43,0.1207,0.0992,0.0737,0.1628,0.1126,0.2527,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0613C3,USR-8766,40.22,2026-08-20T11:48:10,0.0398,0.28,0.1307,0.25,0.3163,0.1678,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-08B438,USR-5367,39.27,2026-08-16T12:33:51,0.28,0.0169,0.0212,0.1352,0.0804,0.2079,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-07EDE2,USR-6039,36.21,2026-08-13T18:06:17,0.2215,0.28,0.2497,0.1809,0.35,0.155,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0C5CA4,USR-3015,137.45,2026-08-15T17:16:23,0.0938,0.2419,0.1192,0.1205,0.2431,0.1018,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-031E39,USR-7265,46.07,2026-08-01T23:52:18,0.0865,0.1904,0.0394,0.1789,0.2045,0.0792,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0E4109,USR-1563,32.76,2026-08-02T20:05:41,0.0547,0.1487,0.1141,0.0314,0.1876,0.0764,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-02CE71,USR-8207,213.78,2026-08-07T08:37:20,0.1848,0.0409,0.1406,0.1636,0.2612,0.09,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0C5B21,USR-3329,79.38,2026-08-21T05:50:38,0.0469,0.1252,0.045,0.2394,0.1854,0.259,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-019F82,USR-9275,152.86,2026-08-07T14:51:11,0.1568,0.1881,0.0796,0.0766,0.35,0.01,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-096380,USR-7567,66.45,2026-08-29T17:03:41,0.2106,0.0481,0.0778,0.0338,0.1285,0.1558,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0B502F,USR-7423,4714.07,2026-08-21T17:46:07,0.4638,0.1396,0.1724,0.931,0.4012,0.4806,1,GENAI-001,GENAI-V4,Adaptive Adversarial Feature Evasion
GENAI-078A71,USR-7904,73.99,2026-08-07T11:30:14,0.28,0.1185,0.0303,0.0919,0.0513,0.0135,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0E3219,USR-9110,74210.33,2026-08-25T16:37:04,0.628,0.9338,0.3091,0.5208,0.7636,0.99,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
GENAI-0298EA,USR-9021,28.88,2026-08-12T21:48:56,0.5038,0.4693,0.2245,0.375,0.3467,0.3853,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0A2A06,USR-1678,98.8,2026-08-17T12:29:40,0.2659,0.0357,0.28,0.1809,0.0669,0.2461,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0A346B,USR-5617,19060.58,2026-08-15T15:52:57,0.6162,0.8571,0.392,0.359,0.7369,0.873,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
GENAI-01E707,USR-5914,31.1,2026-08-13T22:45:11,0.1629,0.2306,0.28,0.0694,0.2321,0.0673,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-074B86,USR-7042,18.69,2026-08-06T00:56:25,0.5781,0.1244,0.2732,0.4273,0.4602,0.3404,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-08C541,USR-7974,171.53,2026-08-18T07:46:57,0.1453,0.233,0.0785,0.25,0.2704,0.1178,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-062F6A,USR-8926,21.79,2026-08-09T04:45:37,0.1862,0.28,0.0914,0.2344,0.35,0.2481,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0A1CC7,USR-6815,136.62,2026-08-18T07:24:40,0.155,0.1738,0.0759,0.0762,0.3087,0.0261,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-023C83,USR-7645,69.02,2026-08-19T08:29:28,0.0815,0.0208,0.1529,0.2498,0.2552,0.3118,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0D4C6C,USR-2150,10.0,2026-08-26T03:06:00,0.1,0.0267,0.1956,0.0307,0.2955,0.1268,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0B61A5,USR-9807,51.08,2026-08-08T15:37:31,0.1987,0.0909,0.28,0.2095,0.1631,0.1883,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-064810,USR-5857,208.95,2026-08-26T00:32:13,0.28,0.1243,0.1452,0.2077,0.2956,0.0686,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-02E64F,USR-6681,131.92,2026-08-06T14:38:36,0.0712,0.1094,0.2307,0.0856,0.3292,0.3107,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0DACD2,USR-9724,41.52,2026-08-28T14:41:44,0.1816,0.1137,0.0607,0.1774,0.1066,0.0721,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0CD8EE,USR-5257,59.74,2026-08-27T08:46:28,0.0367,0.0395,0.2161,0.1093,0.0508,0.0869,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0527F7,USR-3688,32.66,2026-08-17T17:58:48,0.0297,0.1892,0.0712,0.2033,0.1016,0.1228,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-085B8A,USR-6909,54.91,2026-08-28T01:54:55,0.2207,0.28,0.0329,0.1753,0.35,0.3026,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0DE193,USR-2360,46.23,2026-08-01T16:40:03,0.28,0.28,0.0982,0.0153,0.1349,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-06245D,USR-4979,10.0,2026-08-20T09:26:43,0.2463,0.1684,0.1594,0.0817,0.1508,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0D0639,USR-7246,117.56,2026-08-25T17:06:42,0.0241,0.0738,0.0377,0.0279,0.2057,0.2809,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0810B1,USR-8777,10.3,2026-08-10T05:43:10,0.28,0.1038,0.0909,0.073,0.3008,0.2999,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-083B6A,USR-1448,3621.82,2026-08-12T17:16:18,0.1772,0.2033,0.1363,0.7187,0.5,0.6581,1,GENAI-001,GENAI-V4,Adaptive Adversarial Feature Evasion
GENAI-0CE7F8,USR-7184,179.0,2026-08-04T00:22:18,0.0963,0.149,0.0927,0.2387,0.2001,0.1308,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0E8FB9,USR-6184,36.6,2026-08-18T19:23:58,0.1108,0.1013,0.2267,0.0924,0.1434,0.049,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0EF598,USR-1131,119.44,2026-08-23T02:09:44,0.0329,0.1396,0.1435,0.1792,0.0743,0.1782,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0A285A,USR-6367,39.18,2026-08-29T00:16:00,0.0157,0.2543,0.0509,0.0494,0.2397,0.0817,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-087EA3,USR-1295,40015.64,2026-08-10T01:33:26,0.5024,0.9345,0.4235,0.3559,0.8246,0.8351,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
GENAI-066C5C,USR-9086,27.59,2026-08-22T23:44:30,0.4462,0.3932,0.4257,0.3351,0.5874,0.2048,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0F1BEA,USR-9455,10.0,2026-08-25T01:49:03,0.1623,0.28,0.1341,0.1027,0.35,0.0593,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-04D54E,USR-8852,49.58,2026-08-25T03:43:04,0.0713,0.039,0.116,0.25,0.0823,0.0839,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0E95EF,USR-9158,10.0,2026-08-12T20:27:19,0.0608,0.1752,0.2726,0.0257,0.3403,0.0325,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-06F844,USR-8080,37638.79,2026-08-22T20:24:38,0.7443,0.7526,0.3587,0.5583,0.8525,0.943,1,GENAI-001,GENAI-V2,Deepfake Video & Voice Authorization Bypass
GENAI-0542B1,USR-8915,83.87,2026-08-22T22:27:02,0.1007,0.0763,0.0957,0.1884,0.299,0.1027,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-01C943,USR-5760,97.36,2026-08-10T16:04:20,0.0315,0.1698,0.1977,0.25,0.305,0.1059,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-04677A,USR-2643,15.99,2026-08-09T11:42:17,0.1947,0.1035,0.28,0.0292,0.1301,0.1521,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0D093D,USR-4713,3806.99,2026-08-27T15:50:17,0.4057,0.1192,0.2343,0.6764,0.481,0.5828,1,GENAI-001,GENAI-V4,Adaptive Adversarial Feature Evasion
GENAI-02AF1E,USR-4625,17.22,2026-08-02T19:30:36,0.0151,0.0691,0.0436,0.1006,0.1956,0.1881,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-07D8D1,USR-3462,64.4,2026-08-17T05:52:30,0.3299,0.6103,0.4262,0.3715,0.2288,0.1348,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-06B1BD,USR-3888,53.5,2026-08-24T17:53:22,0.2311,0.1594,0.2148,0.1851,0.0875,0.0248,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0B2511,USR-3415,34.98,2026-08-24T13:07:38,0.163,0.1296,0.28,0.188,0.1493,0.2358,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0A5796,USR-8934,10.95,2026-08-11T13:25:36,0.1747,0.0814,0.01,0.25,0.1112,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0731B1,USR-9334,40.3,2026-08-11T04:04:40,0.0237,0.28,0.1261,0.0831,0.3094,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-081727,USR-9267,155.73,2026-08-12T13:00:34,0.0393,0.1079,0.0862,0.2142,0.0737,0.2976,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-078174,USR-2213,4848.78,2026-08-29T11:04:05,0.3401,0.2416,0.1903,0.8257,0.5083,0.2739,1,GENAI-001,GENAI-V4,Adaptive Adversarial Feature Evasion
GENAI-0D8CC1,USR-3262,6571.28,2026-08-18T13:45:01,0.9486,0.2471,0.1012,0.5023,0.878,0.6982,1,GENAI-001,GENAI-V1,Conversational Autonomous Fraud Agent
GENAI-02E19A,USR-3284,10.0,2026-08-26T04:48:25,0.0953,0.159,0.28,0.2419,0.2451,0.1604,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0EAFA5,USR-4782,158.82,2026-08-16T15:58:03,0.1331,0.0276,0.25,0.1851,0.2083,0.171,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0B7D27,USR-2223,141.15,2026-08-13T06:03:47,0.0732,0.1258,0.0833,0.0207,0.126,0.1655,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-03F3CE,USR-9079,102.76,2026-08-08T20:30:27,0.0685,0.2471,0.28,0.1173,0.0909,0.0999,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0AEB68,USR-8476,14.45,2026-08-17T15:00:46,0.071,0.0289,0.2107,0.0408,0.3317,0.1387,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-041D4F,USR-4248,31.64,2026-08-14T21:31:24,0.1304,0.0787,0.2726,0.0243,0.1354,0.35,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-09AF85,USR-6598,193.29,2026-08-06T01:04:48,0.2266,0.28,0.0273,0.25,0.0784,0.0963,0,LEGIT,LEGIT,Normal Verified Interaction
GENAI-0DF4CB,USR-4726,101.95,2026-08-18T07:08:34,0.0925,0.28,0.1172,0.1508,0.35,0.19,0,LEGIT,LEGIT,Normal Verified Interaction
